start,end,transition_type
135.631,135.641,nt
135.961,136.021,val
136.351,136.371,nt
136.411,136.421,nt
136.541,136.551,nt
136.711,136.881,val
137.261,137.761,noise
138.031,138.121,hat
138.181,138.191,nt
138.961,138.971,nt
139.301,139.351,fcx
139.681,139.691,nt
140.031,140.041,nt
140.181,140.191,nt
140.411,140.421,nt
140.651,140.701,val
142.001,142.841,noise
142.881,142.891,nt
144.871,145.291,noise
145.581,145.591,nt
146.751,146.761,nt
147.021,147.031,nt
147.421,147.891,mt
148.181,148.191,nt
148.701,148.711,nt
148.801,148.811,nt
149.091,149.101,nt
149.211,149.221,nt
149.521,149.531,nt
149.581,149.591,nt
150.401,150.411,nt
150.501,150.541,rcx
150.881,150.911,val
153.031,153.041,nt
153.271,153.281,nt
154.051,154.061,nt
154.101,154.111,nt
154.381,154.391,nt
154.701,154.711,nt
154.981,155.421,mt
155.521,155.561,rcx
156.041,156.051,nt
156.221,156.231,nt
156.321,156.331,nt
156.641,156.651,nt
157.011,157.021,nt
157.421,157.471,val
157.571,157.971,mt
159.211,159.221,nt
159.461,159.471,nt
159.521,159.531,nt
160.101,160.111,nt
160.361,160.371,nt
160.521,160.531,nt
160.801,160.811,fcx
